latitude,longitude,altitude,geometry,@osmId,@snapshotTimestamp,tourism
52.338726,13.3522689,,Point,node/2784790124,2019-01-01T00:00:00Z,hotel
52.6396118,13.4681069,,Point,node/260077256,2019-01-01T00:00:00Z,viewpoint
52.3584743,13.098839,,Point,node/2874273673,2019-01-01T00:00:00Z,information
52.603771,13.5242092,,Point,node/262178713,2019-01-01T00:00:00Z,guest_house
52.3551909,13.3089087,,Point,node/3127986846,2019-01-01T00:00:00Z,information
52.6721937,13.4916124,,Point,node/264359130,2019-01-01T00:00:00Z,picnic_site
52.6350882,13.4995196,,Point,node/281827765,2019-01-01T00:00:00Z,hotel
52.5735336,13.5576295,,Point,node/287295073,2019-01-01T00:00:00Z,motel
52.5035375,13.3241078,,Point,node/670658024,2019-01-01T00:00:00Z,hotel
52.4919275,13.3578581,,Point,node/686064057,2019-01-01T00:00:00Z,artwork
52.4928743,13.3579488,,Point,node/686064059,2019-01-01T00:00:00Z,artwork
52.5079286,13.3279383,,Point,node/690204908,2019-01-01T00:00:00Z,hotel
52.4995746,13.3215593,,Point,node/692167746,2019-01-01T00:00:00Z,hotel
52.5055022,13.3155645,,Point,node/692167782,2019-01-01T00:00:00Z,hotel
52.4018837,13.3648724,,Point,node/1270299051,2019-01-01T00:00:00Z,picnic_site
52.5049196,13.3388488,,Point,node/700080644,2019-01-01T00:00:00Z,hotel
52.4910963,13.3289627,,Point,node/704003014,2019-01-01T00:00:00Z,hotel
52.5144988,13.3228269,,Point,node/731078606,2019-01-01T00:00:00Z,information
52.5134963,13.3265965,,Point,node/731078619,2019-01-01T00:00:00Z,information
52.5132128,13.324287,,Point,node/738405659,2019-01-01T00:00:00Z,information
52.4063853,13.3603758,,Point,node/1314771015,2019-01-01T00:00:00Z,viewpoint
52.4905503,13.3334135,,Point,node/747493599,2019-01-01T00:00:00Z,hotel
52.5422267,13.5635018,,Point,node/4452240947,2019-01-01T00:00:00Z,information
52.4712334,13.3555416,,Point,node/753260717,2019-01-01T00:00:00Z,information
52.3877771,13.3692282,,Point,node/1407355027,2019-01-01T00:00:00Z,information
52.5040782,13.324197,,Point,node/775862456,2019-01-01T00:00:00Z,hotel
52.4641067,13.3848349,,Point,node/1522513810,2019-01-01T00:00:00Z,hotel
52.5032321,13.3309651,,Point,node/787496743,2019-01-01T00:00:00Z,artwork
52.5046128,13.3375539,,Point,node/829831964,2019-01-01T00:00:00Z,artwork
52.4606089,13.3894698,,Point,node/1768536488,2019-01-01T00:00:00Z,viewpoint
52.502692,13.577328,,Point,node/4730440818,2019-01-01T00:00:00Z,information
52.5043718,13.3383311,,Point,node/829832140,2019-01-01T00:00:00Z,attraction
52.4607221,13.3887559,,Point,node/1768536503,2019-01-01T00:00:00Z,artwork
52.4612288,13.3900488,,Point,node/1768536528,2019-01-01T00:00:00Z,viewpoint
52.417445,13.495073,,Point,node/701057032,2019-01-01T00:00:00Z,museum
52.3779781,13.0968908,,Point,node/3556126743,2019-01-01T00:00:00Z,artwork
52.4219844,13.4889609,,Point,node/703042587,2019-01-01T00:00:00Z,hotel
52.4234721,13.4857026,,Point,node/703042590,2019-01-01T00:00:00Z,hotel
52.4287713,13.47963,,Point,node/703042592,2019-01-01T00:00:00Z,hotel
52.4011758,13.5136565,,Point,node/924592805,2019-01-01T00:00:00Z,information
52.3688235,13.1298006,,Point,node/3724365814,2019-01-01T00:00:00Z,information
52.5690226,13.5399969,,Point,node/314641582,2019-01-01T00:00:00Z,guest_house
52.3567911,13.0889657,,Point,node/3765024858,2019-01-01T00:00:00Z,information
52.4126089,13.5233202,,Point,node/972435072,2019-01-01T00:00:00Z,information
52.45588,13.5112796,,Point,node/1362945867,2019-01-01T00:00:00Z,hotel
52.6631075,13.4800081,,Point,node/354569248,2019-01-01T00:00:00Z,information
52.4565551,13.5261029,,Point,node/1632937492,2019-01-01T00:00:00Z,museum
52.6358344,13.6342134,,Point,node/389071709,2019-01-01T00:00:00Z,guest_house
52.4289733,13.5263648,,Point,node/1737223261,2019-01-01T00:00:00Z,artwork
52.6268382,13.6276219,,Point,node/389071711,2019-01-01T00:00:00Z,picnic_site
52.4323357,13.5346877,,Point,node/1814553686,2019-01-01T00:00:00Z,hotel
52.6555641,13.5382281,,Point,node/391347922,2019-01-01T00:00:00Z,guest_house
52.4562139,13.4756668,,Point,node/1825925170,2019-01-01T00:00:00Z,information
52.6527146,13.5223236,,Point,node/411514835,2019-01-01T00:00:00Z,guest_house
52.6228571,13.4595931,,Point,node/505157992,2019-01-01T00:00:00Z,viewpoint
52.6617829,13.6309195,,Point,node/506997833,2019-01-01T00:00:00Z,zoo
52.6548116,13.4934837,,Point,node/588648045,2019-01-01T00:00:00Z,picnic_site
52.618247,13.4608663,,Point,node/601506021,2019-01-01T00:00:00Z,viewpoint
52.622297,13.4586837,,Point,node/601506022,2019-01-01T00:00:00Z,viewpoint
52.674303,13.3839827,,Point,node/619482536,2019-01-01T00:00:00Z,picnic_site
52.5850675,13.5142587,,Point,node/629410613,2019-01-01T00:00:00Z,picnic_site
52.6619947,13.6290782,,Point,node/663041943,2019-01-01T00:00:00Z,information
52.6204599,13.4826705,,Point,node/677856075,2019-01-01T00:00:00Z,picnic_site
52.6673706,13.4715644,,Point,node/683140739,2019-01-01T00:00:00Z,viewpoint
52.66739,13.4718294,,Point,node/683811200,2019-01-01T00:00:00Z,information
52.6436962,13.4764939,,Point,node/685779908,2019-01-01T00:00:00Z,picnic_site
52.5737112,13.4800288,,Point,node/691178664,2019-01-01T00:00:00Z,picnic_site
52.6624551,13.4798721,,Point,node/693601955,2019-01-01T00:00:00Z,attraction
52.571904,13.4849594,,Point,node/695530462,2019-01-01T00:00:00Z,zoo
52.5756588,13.5622475,,Point,node/701732373,2019-01-01T00:00:00Z,viewpoint
52.6684233,13.4898845,,Point,node/791313594,2019-01-01T00:00:00Z,picnic_site
52.6621882,13.4845377,,Point,node/791313748,2019-01-01T00:00:00Z,picnic_site
52.6687592,13.489659,,Point,node/791313858,2019-01-01T00:00:00Z,picnic_site
52.6566208,13.3975213,,Point,node/794687335,2019-01-01T00:00:00Z,picnic_site
52.5832021,13.5672072,,Point,node/837696784,2019-01-01T00:00:00Z,information
52.6394237,13.4631036,,Point,node/862268107,2019-01-01T00:00:00Z,picnic_site
52.661994,13.6291504,,Point,node/869600598,2019-01-01T00:00:00Z,picnic_site
52.6203466,13.6613155,,Point,node/869609115,2019-01-01T00:00:00Z,picnic_site
52.6247932,13.6636655,,Point,node/869609119,2019-01-01T00:00:00Z,picnic_site
52.606989,13.6255234,,Point,node/874570872,2019-01-01T00:00:00Z,artwork
52.606041,13.6190803,,Point,node/874570979,2019-01-01T00:00:00Z,hotel
52.654362,13.4565599,,Point,node/894801031,2019-01-01T00:00:00Z,information
52.6570571,13.4879324,,Point,node/894801065,2019-01-01T00:00:00Z,information
52.6575343,13.4625269,,Point,node/894801088,2019-01-01T00:00:00Z,information
52.6685091,13.4859369,,Point,node/894801107,2019-01-01T00:00:00Z,information
52.6585542,13.4832931,,Point,node/894801114,2019-01-01T00:00:00Z,information
52.570175,13.5376079,,Point,node/925074771,2019-01-01T00:00:00Z,information
52.6218871,13.4612504,,Point,node/972384735,2019-01-01T00:00:00Z,viewpoint
52.6388698,13.4559656,,Point,node/1138683647,2019-01-01T00:00:00Z,information
52.6527723,13.4086619,,Point,node/1163257501,2019-01-01T00:00:00Z,viewpoint
52.5769649,13.4507626,,Point,node/1385305692,2019-01-01T00:00:00Z,attraction
52.6006933,13.5208076,,Point,node/1426103974,2019-01-01T00:00:00Z,information
52.6364069,13.6341705,,Point,node/1446099060,2019-01-01T00:00:00Z,information
52.67515,13.6082122,,Point,node/1446099139,2019-01-01T00:00:00Z,information
52.6023934,13.6210551,,Point,node/1450877968,2019-01-01T00:00:00Z,information
52.6267651,13.5751564,,Point,node/1450878054,2019-01-01T00:00:00Z,information
52.6272199,13.5440003,,Point,node/1451483676,2019-01-01T00:00:00Z,guest_house
52.6664018,13.485249,,Point,node/1472017861,2019-01-01T00:00:00Z,artwork
52.666827,13.485589,,Point,node/1472017863,2019-01-01T00:00:00Z,artwork
52.667514,13.485739,,Point,node/1472017864,2019-01-01T00:00:00Z,artwork
52.669101,13.485568,,Point,node/1472017865,2019-01-01T00:00:00Z,artwork
52.6648277,13.4849755,,Point,node/1472017879,2019-01-01T00:00:00Z,artwork
52.664441,13.4848909,,Point,node/1472017880,2019-01-01T00:00:00Z,artwork
52.6628806,13.3782808,,Point,node/1478057504,2019-01-01T00:00:00Z,information
