latitude,longitude,altitude,geometry,@osmId,@snapshotTimestamp,leisure
52.4146752,13.2969505,,Point,node/5777670108,2019-01-01T00:00:00Z,playground
52.4297348,13.3093023,,Point,node/5777670109,2019-01-01T00:00:00Z,pitch
52.4219545,13.3036966,,Point,node/5777670113,2019-01-01T00:00:00Z,playground
52.4096161,13.300297,,Point,node/5777670116,2019-01-01T00:00:00Z,playground
52.4299818,13.3093803,,Point,node/5777670117,2019-01-01T00:00:00Z,playground
52.4645546,13.332363,,Point,node/5839962524,2019-01-01T00:00:00Z,pitch
52.470012,13.333345,,Point,node/5938903347,2019-01-01T00:00:00Z,adult_gaming_centre
52.4381718,13.3305996,,Point,node/6153747166,2019-01-01T00:00:00Z,pitch
52.4967598,13.3442626,,Point,node/415907232,2019-01-01T00:00:00Z,pitch
52.4973462,13.3439273,,Point,node/632385089,2019-01-01T00:00:00Z,sports_centre
52.4958594,13.3559674,,Point,node/653233742,2019-01-01T00:00:00Z,playground
52.5042785,13.3402794,,Point,node/653423041,2019-01-01T00:00:00Z,sauna
52.3383053,13.3538777,,Point,node/2292624713,2019-01-01T00:00:00Z,playground
52.48913,13.331567,,Point,node/660360586,2019-01-01T00:00:00Z,sauna
52.50467,13.34207,,Point,node/693830507,2019-01-01T00:00:00Z,sauna
52.4806478,13.3585029,,Point,node/728623531,2019-01-01T00:00:00Z,pitch
52.361405,13.306035,,Point,node/2348342282,2019-01-01T00:00:00Z,playground
52.4835193,13.3577918,,Point,node/728623553,2019-01-01T00:00:00Z,pitch
52.354547,13.3014469,,Point,node/2348841626,2019-01-01T00:00:00Z,playground
52.4880876,13.3517091,,Point,node/730887408,2019-01-01T00:00:00Z,pitch
52.4877578,13.3410672,,Point,node/741678762,2019-01-01T00:00:00Z,pitch
52.485448,13.3247629,,Point,node/747535467,2019-01-01T00:00:00Z,pitch
52.3550421,13.3017642,,Point,node/2348841629,2019-01-01T00:00:00Z,playground
52.4960751,13.3436307,,Point,node/771332563,2019-01-01T00:00:00Z,playground
52.5638674,13.3579253,,Point,node/2917519660,2019-01-01T00:00:00Z,pitch
52.3517009,13.3017565,,Point,node/2348841631,2019-01-01T00:00:00Z,playground
52.3775199,13.097498,,Point,node/2468841115,2019-01-01T00:00:00Z,sauna
52.4914046,13.3389096,,Point,node/799908586,2019-01-01T00:00:00Z,pitch
52.3386971,13.3546845,,Point,node/2712084275,2019-01-01T00:00:00Z,playground
52.4797986,13.3454215,,Point,node/802697163,2019-01-01T00:00:00Z,sports_centre
52.4866726,13.3283724,,Point,node/823473534,2019-01-01T00:00:00Z,fitness_centre
52.4884039,13.3224168,,Point,node/825244388,2019-01-01T00:00:00Z,tanning_salon
52.5045718,13.3373165,,Point,node/925525521,2019-01-01T00:00:00Z,fitness_centre
52.5072487,13.3262582,,Point,node/1279265631,2019-01-01T00:00:00Z,fitness_centre
52.5639063,13.3579798,,Point,node/2917519661,2019-01-01T00:00:00Z,pitch
52.4817577,13.3163843,,Point,node/1324598109,2019-01-01T00:00:00Z,playground
52.4729944,13.3424932,,Point,node/1332133753,2019-01-01T00:00:00Z,playground
52.6422337,13.2868371,,Point,node/2935674208,2019-01-01T00:00:00Z,yes
52.4713607,13.3463021,,Point,node/1356471158,2019-01-01T00:00:00Z,playground
52.471539,13.34711,,Point,node/1356471172,2019-01-01T00:00:00Z,playground
52.479126,13.3206371,,Point,node/1438198683,2019-01-01T00:00:00Z,playground
52.5860772,13.3282889,,Point,node/3153547625,2019-01-01T00:00:00Z,playground
52.4986964,13.3391577,,Point,node/1508411499,2019-01-01T00:00:00Z,playground
52.569991,13.3243334,,Point,node/3308240597,2019-01-01T00:00:00Z,pitch
52.3629818,13.1309061,,Point,node/3068214075,2019-01-01T00:00:00Z,playground
